,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Guangzhou Evergrande,64,30,19,7
1,2,Jiangsu Suning,57,30,17,6
2,3,Shanghai SIPG,52,30,14,10
3,4,Shanghai Shenhua,48,30,12,12
4,5,Beijing Sinobo Guoan,43,30,11,10
5,6,Guangzhou R&F,40,30,11,7
6,7,Hebei China Fortune FC,40,30,11,7
7,8,Chongqing Lifan,37,30,9,10
8,9,Yanbian Fude FC,37,30,10,7
9,10,Tianjin Teda,36,30,9,9
10,11,Liaoning Whowin,36,30,9,9
11,12,Changchun Yatai,35,30,10,5
12,13,Henan Jianye,35,30,10,5
13,14,Shandong Luneng Taishan,34,30,9,7
14,15,Hangzhou Greentown,32,30,8,8
15,16,Shijiazhuang Ever Bright,30,30,7,9
